Date,BEAI2,BRLI4,CMMI4,COPI2,DBQI4,FAII4,GGYM7,HAVI2,HNNM7,HNYI2,IL03,IL03_Tail,IL04,IL04_Tail,IL05,IL05_Tail,IL06,IL06_Tail,IL07,IL07_Tail,IL08,IL08_Tail,KHBI2,KNGI2,LSLI2,MI11,MI11_Tail,MI12,MI12_Tail,MI13,MI13_Tail,MI14,MI14_Tail,MI15,MI15_Tail,MI16,MI16_Tail,MI17,MI17_Tail,MI18,MI18_Tail,MI19,MI19_Tail,MI20,MI20_Tail,MI21,MI21_Tail,MI22,MI22_Tail,MORI2,MUSI4,PIAI2,UINI2,05552500,05527500,05585000,05446500,05583000,05570000,05555300
06Apr1999,430.62,522.29,574.41,434.06,595.61,545.58,481.01,433.45,460.82,441.38,538.77,504.56,504.5,484.58,483.35,459.32,458.82,442.93,439.8,434.65,429.56,426.03,532.33,434.77,442.74,603.2,595.89,592.09,588.5,583.02,576.54,571.82,563.36,561.06,550.68,544.28,540.41,535.81,534.87,528.2,523.7,517.9,484,479.16,475.34,470.2,465.5,459.77,454.58,484.26,539.48,440.16,470.26,468.7899999,512.88,439.17,570.36,458.65,473.67,525.56
07Apr1999,430.25,521.82,574.71,433.81,596.03,545.8,482.02,433.2,460.88,441.32,538.83,504.56,504.85,484.68,483.52,459.11,458.9,442.53,440.45,434.8,429.22,425.48,532.18,434.75,442.38,603.45,596.43,591.86,589.31,583.29,577.04,572.14,563.4,561.01,551.01,544.65,540.65,535.96,534.69,527.66,523.22,518.08,485.04,480.07,476.11,470.38,465.95,459.61,454.7,484.26,539.75,440.97,470.58,468.7699999,512.90,441.11,570.38,458.70,473.67,525.50
08Apr1999,430.43,521.98,574.96,433.92,596.38,545.89,480.31,432.94,460.8,441.3,538.77,504.51,504.66,484.68,483.34,459.4,459,442.49,440.3,435.1,429.49,425.57,532.55,434.88,442.39,603.39,596.83,591.96,589.61,583.29,577.38,572.18,563.58,561.02,551.26,544.4,541.25,536.27,535.37,528.22,523.47,518.36,483.89,477.46,475.35,469.89,465.57,459.38,455.28,484.3,540.32,440.88,470.03,468.67,512.90,440.27,570.62,458.90,473.68,525.49
09Apr1999,430.48,522.79,575.35,434.18,597.58,545.86,483.07,433.18,461.25,441.29,538.67,506.7,504.94,490.1,483.41,459.75,459.02,442.79,440.3,435.4,429.49,425.8,532.93,435.1,442.54,603.26,597.61,592.09,590.26,583.42,577.96,572.23,564.04,561.21,551.86,544.05,541.49,536.12,535.87,528,524.29,518.19,486.92,480.14,477.32,470.24,467.02,459.84,455.09,485.6,540.53,440.77,470.53,469.46,512.97,439.29,570.80,459.14,474.57,525.72
10Apr1999,430.78,522.89,575.84,434.93,598.12,546.06,482.61,433.38,462.64,441.74,538.92,505.68,504.78,489.47,483.43,460.29,459,444.99,440.55,436.45,429.83,425.78,533.6,435.96,444.24,603.03,598.18,592.17,591.22,583.2,578.77,571.9,564.29,560.98,552.47,543.79,542.68,537.07,536.82,528.06,524.57,518.1,486.42,478.55,478.03,469.9,469.12,459.3,458.2,485.94,541.42,440.95,470.46,470.2699999,513.02,442.61,571.03,459.83,476.70,525.77
11Apr1999,429.72,523.68,576.27,435.41,598.21,546.17,483.41,433.71,462.42,442.13,538.88,505.67,504.56,489.56,483.46,460.32,458.88,445.33,440.45,436.85,427.48,427.48,534.17,436.38,444.72,603.26,598.33,592.16,591.27,583.12,579.23,571.94,564.8,561.1,552.99,543.65,542.92,537.74,537.5,528.32,525.48,518.31,487.46,479.17,478.65,470.56,469.02,459.48,457.61,486.09,541.95,441.11,471.14,470.1199998,513.05,443.67,571.59,460.22,475.89,525.77
12Apr1999,429.8,524.01,576.69,435.64,599.03,546.37,484.48,433.79,463.1,442.28,538.84,505.73,504.71,488.68,483.3,460.13,458.82,445.29,440.7,437.2,427.52,427.52,534.52,436.72,444.72,602.62,599.17,592.23,591.93,583.02,579.74,571.96,565.12,561.09,553.5,543.99,543.41,538.18,537.94,528.12,525.84,518.24,488.54,480.22,479.58,470.84,469.99,459.73,458.47,485.5,542.44,441.45,471.6,470.0599999,513.10,440.83,571.93,460.01,475.04,525.69
13Apr1999,429.76,524.4,576.8,435.79,599.11,546.67,484.69,433.94,463.43,442.32,538.89,505.38,504.81,488.93,483.39,459.79,458.8,444.92,440.8,437.4,427.47,427.47,534.99,436.91,444.44,602.65,599.22,592.5,592.21,583.25,579.86,572.05,565.03,561.02,553.6,544.4,543.9,538.67,538.47,528.15,526.33,518.21,488.69,480.51,479.9,471.37,470.51,459.69,459.15,485.29,542.95,441.5,472.14,469.9700002,513.21,439.61,572.06,459.57,474.58,525.65
14Apr1999,430.15,524.62,577.12,437.25,599.43,546.91,485.3,435.01,463.89,442.11,538.85,505.49,504.88,488.26,483.48,459.73,458.87,444.77,439.5,439.5,427.68,427.68,535.13,438.57,444.33,603.29,599.68,592.71,592.41,583.32,580.23,572.25,565.29,561.18,553.9,544.63,544.13,538.92,538.71,528.15,526.54,518.19,489.29,481.1,480.44,471.91,471.05,460.08,459.51,485.13,543.16,440.75,472.68,469.8899998,513.29,439.01,572.09,459.32,474.30,525.61
15Apr1999,430.41,524.89,577.44,437.33,600.09,547.15,485.45,435.21,464.33,441.87,538.81,505.02,504.58,488.22,483.5,459.77,458.83,444.45,439.4,439.4,428.06,428.06,535.36,438.51,444.02,602.96,600.56,593.37,593.01,583.19,580.56,572.43,565.49,561.24,554.16,545.02,544.48,539.28,539.08,528.12,526.86,518.34,489.47,481.3,480.68,472.33,471.44,460.64,460.01,485.36,543.52,440.51,473.06,469.8800001,513.32,440.67,572.20,459.32,474.74,525.73
16Apr1999,431.55,525.6,578.07,437.79,600.5,547.6,486.65,435.75,466.04,441.92,538.76,507.08,504.98,491.23,483.38,460.94,458.91,445.69,439.6,439.6,429.65,429.65,535.91,438.98,444.81,603.11,600.64,593.67,593.32,583.17,581.36,572.43,566.04,561.24,555.08,545.8,545.25,539.93,539.69,528.13,527.57,518.36,490.76,482.64,482.03,474.29,473.64,462.37,461.78,486.95,544.27,440.73,475.01,471.5199999,514.50,449.43,572.66,461.19,480.79,530.79
